UID,Age,RenovAge,Distance,IsRenovated,AgeSq,InteractionAgeDistance,LogInteraction,SubType,AdCreationAge,AskingPricePerSqm,SquareMeters,LandplotSize,NoView,ViewForest,ViewMountain,ViewSea,ViewUnlimited,NoFacade,FacadeCorner,FacadeFrontage,FacadeInterior,FacadeThrough,HeatType,HeatFrom,EnergyPerformance,WC,AC,Elevator,Parking,StorageRoom,AluminumFrames,Bedrooms,Pool,Garden,FloorLevel,FloorCount,GeoLat,GeoLon,ZoneValue,MarketabillityFactor,AskingPrice,AdminName
property_01KP5TXHMY8CX2BG6GZGCTJ602,126,126,0,0,15876,0,0,detached_house,49,13.461538461538462,260,260,0,0,0,0,0,0,0,0,0,1,autonomous_central,oil,Ζ,1,0,0,0,1,0,4,0,0,0,1,37.9801381,23.7125654,2000,2.2,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5V052B4WAD2H41DF4E3BB9,126,126,0,0,15876,0,0,detached_house,12,16.923076923076923,130,130,0,0,0,0,0,0,0,0,0,1,autonomous_central,natural_gas,Η,1,0,0,0,1,0,3,0,1,0,1,37.9860817,23.7384819,2200,1.4,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5TYRV4HBKJYEQ836370EMT,126,5,121,1,15876,15246,586.1466374614895,apartment,7,10.714285714285714,140,480,0,0,1,0,0,0,1,1,0,1,autonomous_central,oil,Δ,2,0,0,1,0,1,3,0,1,1,1,38.0453608,23.831691,1650,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5V7AFJWK5FW9W8WC56M9V4,125,2,123,1,15625,15375,594.8626745550318,detached_house,10,8.75912408759124,137,137,0,0,0,1,0,0,0,1,0,0,autonomous_individual,,Η,2,0,0,0,0,0,4,0,0,0,1,36.3918763,25.4513399,1250,1,0,Περιφερειακή Ενότητα Θήρας
property_01KP5TW5FJEJTS6PGZRTQ9MGBA,125,16,109,1,15625,13625,527.1547278577111,apartment,32,16.666666666666668,180,180,0,0,0,0,0,0,0,0,0,0,,,,2,0,0,0,0,0,2,0,0,1,1,37.9746621,23.7270007,5100,2.1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5VMZZNRXRHE2ZPQ43XETC1,125,125,0,0,15625,0,0,apartment,1,25,100,100,0,0,0,0,0,0,0,1,0,1,autonomous_central,,Εξαιρείται,1,0,0,0,0,0,1,0,0,0,1,37.9767117,23.7412301,4250,5.4,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5TTNKGZPZ9E3ZR77357047,125,25,100,1,15625,12500,483.6281906951478,detached_house,3,11.363636363636363,220,220,0,0,0,0,0,0,1,1,0,0,autonomous_individual,,Γ,3,0,0,1,1,0,3,0,1,0,1,37.9897317,23.7231146,1150,1.2,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5W0MC125K7C1W1ZWQQKGDM,125,2,123,1,15625,15375,594.8626745550318,apartment,1,17.857142857142858,70,70,0,0,0,0,0,0,0,0,0,0,autonomous_individual,,Ε,1,0,0,0,1,0,2,0,1,1,1,38.0858349,23.8130418,2000,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5TQ24EPH1P1SJSVK5QBWPE,121,121,0,0,14641,0,0,apartment,2,24.074074074074073,270,270,0,0,0,0,0,0,0,0,0,0,,,Δ,0,0,0,1,0,0,1,0,0,1,2,37.9735596,23.7310138,4500,1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5TTNKJDTCEGPH9XA0X2QYS,121,121,0,0,14641,0,0,detached_house,11,23.214285714285715,280,280,0,0,0,0,0,0,1,1,0,1,autonomous_central,natural_gas,Α,2,0,0,1,1,0,5,0,0,2,2,37.9737551,23.730854,4500,1.4,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5VSR54FZT839WKQHJ855Q7,121,121,0,0,14641,0,0,apartment,8,17.77777777777778,90,90,0,0,0,0,0,0,0,1,0,1,autonomous_individual,natural_gas,Ζ,2,1,0,0,0,0,3,0,0,0,1,37.976106,23.7153832,2150,1.8,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KR3W3H0WSYK6ZDE9B2MWKPVA,116,21,95,1,13456,11020,452.40652380578683,apartment,118,13.846153846153847,130,130,0,0,0,0,0,0,0,0,0,1,,,Γ,1,1,0,0,1,0,3,0,1,0,1,37.9873443,23.7439558,2200,1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
